raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
ㅇㅇ?,,ㅇㅇ?,2025-02-17T14:07:34+09:00,0.03,0.9603,0.0096,1
사팔이들 우린 떠날게,사팔이들 우린 떠날게,사팔이들 우린 떠날게,2025-03-20T10:39:57+09:00,0.159,0.6957,0.1453,1
망,망,망,2024-09-10T12:12:34+09:00,0.0785,0.89,0.0315,1
감사합니다.  일보후퇴,감사합니다 일보후퇴,감사합니다. 일보후퇴,2024-10-15T09:19:02+09:00,0.1425,0.7746,0.0829,1
일부 손절,일부 손절,일부 손절,2025-01-07T17:23:37+09:00,0.313,0.4126,0.2744,1
59200 걸어놓고 일하다 왔는데 사졌네용 ㅋㅋ,59200 걸어놓고 일하다 왔는데 사졌네용,59200 걸어놓고 일하다 왔는데 사졌네용 ㅋㅋ,2024-10-31T15:44:11+09:00,0.0933,0.8638,0.0428,1
개미형들 물타지마ㅠ지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨..2~3퍼올라서 불타고 물타면 못나올수있어ㅠ,개미형들 물타지마지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨23퍼올라서 불타고 물타면 못나올수있어,개미형들 물타지마ㅠ지금은물탈때가아니라 코스피가 안정되면 그때보고 들어가야됨..23퍼올라서 불타고 물타면 못나올수있어ㅠ,2025-01-31T12:36:11+09:00,0.2778,0.2402,0.482,2
"역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네
언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지
비나이다 천지조물주님이시여
간절히 빕니다",역쉬 개인기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외개기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,역쉬 개인.기관 막 팔아째기니 이놈의 주식 힘을 못받네 언제한번 외.개.기 일심동체하여 삼전 날개 힘을 실어줄련지 비나이다 천지조물주님이시여 간절히 빕니다,2024-08-20T17:01:32+09:00,0.3479,0.467,0.1851,1
비록 거지같은 삼전이지만 응원한다 ! 제발 탈출해보자,비록 거지같은 삼전이지만 응원한다 제발 탈출해보자,비록 거지같은 삼전이지만 응원한다 ! 제발 탈출해보자,2024-11-07T11:23:47+09:00,0.3401,0.3482,0.3117,1
내일 갭매꿀 때 구매해야겠다,내일 갭매꿀 때 구매해야겠다,내일 갭매꿀 때 구매해야겠다,2025-03-18T10:02:08+09:00,0.2935,0.3747,0.3319,1
빨간색으로 바뀐 역사적인날 입니다,빨간색으로 바뀐 역사적인날 입니다,빨간색으로 바뀐 역사적인날 입니다,2023-11-21T10:26:10+09:00,0.1072,0.6626,0.2302,1
73넘기면 날아갈거같은데,73넘기면 날아갈거같은데,73넘기면 날아갈거같은데,2024-03-12T14:09:56+09:00,0.1131,0.8045,0.0824,1
"조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요ㅎㅎ 불금 고생하셨습니다~! 
월욜에도 김장하듯 담아야겠습니다👋",조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요 불금 고생하셨습니다 월욜에도 김장하듯 담아야겠습니다,조금씩 조금씩 김장하듯 담아놔야 맛있는 묵은지가 될것같아요ㅎㅎ 불금 고생하셨습니다! 월욜에도 김장하듯 담아야겠습니다,2024-09-20T19:18:06+09:00,0.2022,0.6053,0.1925,1
기대된다 내일국장 총알준비..,기대된다 내일국장 총알준비,기대된다 내일국장 총알준비..,2024-10-02T00:39:36+09:00,0.0959,0.8278,0.0763,1
할일,할일,할일,2024-12-04T08:52:31+09:00,0.0364,0.9477,0.0159,1
숨막힌다. 꼭 심정지환자를 살리는것처럼 보이네,숨막힌다 꼭 심정지환자를 살리는것처럼 보이네,숨막힌다. 꼭 심정지환자를 살리는것처럼 보이네,2025-02-20T10:43:55+09:00,0.1672,0.7945,0.0383,1
"일봉이 약간 흘들려도, 이전에 말씀드린대로 6자는 안보여주고 있네요. 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요.
6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요.

이흐름 그대로 안정적으로 다음고지 근저 73.6 안착 할것 같아요. 일단 근고 73.6안착후 이평선들 어떻게 되는지 보기로 하지요.

6자 안보여준 삼성이 칭찬하며, 그럼 모두 성투하세요.",일봉이 약간 흘들려도 이전에 말씀드린대로 6자는 안보여주고 있네요 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요 6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요 이흐름 그대로 안정적으로 다음고지 근저 736 안착 할것 같아요 일단 근고 736안착후 이평선들 어떻게 되는지 보기로 하지요 6자 안보여준 삼성이 칭찬하며 그럼 모두 성투하세요,"일봉이 약간 흘들려도, 이전에 말씀드린대로 6자는 안보여주고 있네요. 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요. 6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요. 이흐름 그대로 안정적으로 다음고지 근저 73.6 안착 할것 같아요. 일단 근고 73.6안착후 이평선들 어떻게 되는지 보기로 하지요. 6자 안보여준 삼성이 칭찬하며, 그럼 모두 성투하세요.",2023-09-12T16:39:41+09:00,0.2352,0.2552,0.5096,2
오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯?,오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯,오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯?,2024-10-10T15:36:58+09:00,0.3929,0.3286,0.2785,0
올라가질 못해서 적절히 수익실현,올라가질 못해서 적절히 수익실현,올라가질 못해서 적절히 수익실현,2024-10-21T10:58:22+09:00,0.2319,0.3304,0.4377,2
3년 넘게 걸렸다 드디어 떠난다🥹,3년 넘게 걸렸다 드디어 떠난다,3년 넘게 걸렸다 드디어 떠난다,2024-07-05T14:04:55+09:00,0.2548,0.4364,0.3088,1
오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,2024-09-20T09:00:28+09:00,0.2887,0.161,0.5504,2
전지 익절후 다들 오시네요,전지 익절후 다들 오시네요,전지 익절후 다들 오시네요,2023-07-27T11:15:14+09:00,0.0764,0.815,0.1086,1
외인 무섭게 파네요 개같이 물려버림,외인 무섭게 파네요 개같이 물려버림,외인 무섭게 파네요 개같이 물려버림,2024-09-03T14:25:16+09:00,0.2722,0.6388,0.089,1
"속이 조금 시원,,,",속이 조금 시원,"속이 조금 시원,,,",2025-02-10T12:51:34+09:00,0.0595,0.8847,0.0558,1
박판에 저엄청난거 머나요? 아시는분?,박판에 저엄청난거 머나요 아시는분,박판에 저엄청난거 머나요? 아시는분?,2024-12-12T15:32:03+09:00,0.1389,0.8019,0.0592,1
5만 초반에 다시 진입해보겠습니다,5만 초반에 다시 진입해보겠습니다,5만 초반에 다시 진입해보겠습니다,2025-02-14T09:20:13+09:00,0.0923,0.4531,0.4546,2
8만전자를 향하여 고고,8만전자를 향하여 고고,8만전자를 향하여 고고,2025-03-19T11:43:28+09:00,0.0521,0.1955,0.7524,2
삼만전자 😃,삼만전자,삼만전자,2025-02-03T09:49:39+09:00,0.048,0.9282,0.0238,1
외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,2024-04-05T09:32:42+09:00,0.116,0.8461,0.0379,1
트럼프 관세 적용되면,트럼프 관세 적용되면,트럼프 관세 적용되면,2025-02-03T00:11:02+09:00,0.0714,0.7747,0.1539,1
외인 도망치고있군ㅜㅜ,외인 도망치고있군,외인 도망치고있군ㅜㅜ,2024-12-20T10:03:55+09:00,0.0302,0.9505,0.0193,1
삼전은 의심 안함니다.,삼전은 의심 안함니다,삼전은 의심 안함니다.,2024-08-16T15:42:28+09:00,0.054,0.9008,0.0452,1
진심 궁금해서 물어봅니다,진심 궁금해서 물어봅니다,진심 궁금해서 물어봅니다,2024-11-13T12:14:13+09:00,0.0481,0.9406,0.0113,1
