raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
"그…
아니다ㅎ",그 아니다,그 아니다ㅎ,2025-01-11T00:50:15+09:00,0.0251,0.9632,0.0116,1
황사장 사고친거임?,황사장 사고친거임,황사장 사고친거임?,2025-01-29T17:16:19+09:00,0.0494,0.9262,0.0245,1
언제올라!,언제올라,언제올라!,2025-03-27T17:53:03+09:00,0.095,0.5969,0.3081,1
정신 바쩍차리십시오 느낌이상하다,정신 바쩍차리십시오 느낌이상하다,정신 바쩍차리십시오 느낌이상하다,2025-03-06T23:27:51+09:00,0.0303,0.9468,0.0229,1
180까진 등락을 거듭하면서 상승한다고 생각합니다,180까진 등락을 거듭하면서 상승한다고 생각합니다,180까진 등락을 거듭하면서 상승한다고 생각합니다,2025-02-21T06:51:28+09:00,0.569,0.1227,0.3083,0
"다들 경험해봤겠지만 어차피 중국제품은 오래 못감.
싼 맛에 쓰다가 버리는게 중국제품임.",다들 경험해봤겠지만 어차피 중국제품은 오래 못감 싼 맛에 쓰다가 버리는게 중국제품임,다들 경험해봤겠지만 어차피 중국제품은 오래 못감. 싼 맛에 쓰다가 버리는게 중국제품임.,2025-01-28T02:00:50+09:00,0.1698,0.718,0.1122,1
"엔비는 내리고 남친은 5만원 안빌려준다고 연락하지말라카고
아오 ~
엔비가 수익이 나야 팔아서  🐮🐄 소라도 사묵지
모하겠노 ㅡ",엔비는 내리고 남친은 5만원 안빌려준다고 연락하지말라카고 아오 엔비가 수익이 나야 팔아서 소라도 사묵지 모하겠노,엔비는 내리고 남친은 5만원 안빌려준다고 연락하지말라카고 아오 엔비가 수익이 나야 팔아서 소라도 사묵지 모하겠노 ㅡ,2025-01-30T00:13:47+09:00,0.1319,0.5988,0.2693,1
"떠들던데 역사는 반복 되는게 맞다고 생각은하지만 100% 똑같지는 않거든
AI주와 엔비디아를 까면서 트럼프는 장사꾼임  트럼프 입한마디에 주가가 왔다갔다하기는하는데 1기때와는틀린 2기라 보는데",떠들던데 역사는 반복 되는게 맞다고 생각은하지만 100 똑같지는 않거든 AI주와 엔비디아를 까면서 트럼프는 장사꾼임 트럼프 입한마디에 주가가 왔다갔다하기는하는데 1기때와는틀린 2기라 보는데,떠들던데 역사는 반복 되는게 맞다고 생각은하지만 100 똑같지는 않거든 AI주와 엔비디아를 까면서 트럼프는 장사꾼임 트럼프 입한마디에 주가가 왔다갔다하기는하는데 1기때와는틀린 2기라 보는데,2025-03-07T21:55:02+09:00,0.1763,0.564,0.2596,1
"힘이 쎈것도 아니고 지식이 많은 것도 아니고
심지어 운조차 없음",힘이 쎈것도 아니고 지식이 많은 것도 아니고 심지어 운조차 없음,힘이 쎈것도 아니고 지식이 많은 것도 아니고 심지어 운조차 없음,2025-01-09T02:57:26+09:00,0.0569,0.8996,0.0434,1
영웅이 필요하다,영웅이 필요하다,영웅이 필요하다,2025-02-27T06:59:29+09:00,0.0312,0.931,0.0378,1
ㄱ,,ㄱ,2025-01-22T23:03:36+09:00,0.0196,0.9717,0.0087,1
"이시간만 되먄 윗집에서 응응 여자 신음소리나는데 어찌해야하나요 전 총각입니다

일국 영상처럼 저리 소리를 지를일인가 싶습니다",이시간만 되먄 윗집에서 응응 여자 신음소리나는데 어찌해야하나요 전 총각입니다 일국 영상처럼 저리 소리를 지를일인가 싶습니다,이시간만 되먄 윗집에서 응응 여자 신음소리나는데 어찌해야하나요 전 총각입니다 일국 영상처럼 저리 소리를 지를일인가 싶습니다,2025-01-31T23:14:12+09:00,0.0694,0.8541,0.0765,1
125 안착할 느낌인데 오늘 반박시 님밀맞 ㅇㅇ,125 안착할 느낌인데 오늘 반박시 님밀맞,125 안착할 느낌인데 오늘 반박시 님밀맞 ㅇㅇ,2025-02-06T00:06:00+09:00,0.0445,0.9261,0.0294,1
음 안좋아 보이는디!,음 안좋아 보이는디,음 안좋아 보이는디!,2025-01-30T23:10:37+09:00,0.0269,0.948,0.0251,1
