raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
폭탄 세일 하는데   돈이없다니  아쉽다ㅠ,폭탄 세일 하는데 돈이없다니 아쉽다,폭탄 세일 하는데 돈이없다니 아쉽다ㅠ,2023-09-07T14:08:44+09:00,0.1352,0.7023,0.1626,1
ㅋㅋ,,ㅋㅋ,2024-04-20T22:17:49+09:00,0.0192,0.9641,0.0167,1
오늘은 애플인가,오늘은 애플인가,오늘은 애플인가,2025-01-23T23:31:20+09:00,0.0181,0.9635,0.0184,1
오르겠다,오르겠다,오르겠다,2024-03-06T23:35:52+09:00,0.0932,0.3881,0.5187,2
엄....,엄,엄....,2025-02-11T23:10:56+09:00,0.0225,0.9611,0.0164,1
애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마,애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마,애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마 애플아 아프지마,2023-10-11T21:39:52+09:00,0.0362,0.9363,0.0275,1
5주만 빼서 따뜻한 신상 살께요~ 히힣,5주만 빼서 따뜻한 신상 살께요 히힣,5주만 빼서 따뜻한 신상 살께요 히힣,2023-09-18T17:16:02+09:00,0.0308,0.911,0.0582,1
"매도타점

전 고점 매수자 대부분이 던지기에
하락이 나올 가능성 놏높음
저항선 뚫으면 매수 추천",매도타점 전 고점 매수자 대부분이 던지기에 하락이 나올 가능성 놏높음 저항선 뚫으면 매수 추천,매도타점 전 고점 매수자 대부분이 던지기에 하락이 나올 가능성 놏높음 저항선 뚫으면 매수 추천,2023-12-13T21:14:02+09:00,0.309,0.0991,0.5919,2
일단 물타기했는데 본장 열리면 어떨지,일단 물타기했는데 본장 열리면 어떨지,일단 물타기했는데 본장 열리면 어떨지,2024-04-10T21:42:43+09:00,0.0736,0.8439,0.0826,1
오 감사합니다,오 감사합니다,오 감사합니다,2024-03-20T17:35:00+09:00,0.0151,0.9488,0.0361,1
.,,.,2023-08-18T09:18:49+09:00,0.0174,0.9668,0.0158,1
날마다 하락이군,날마다 하락이군,날마다 하락이군,2025-02-26T23:36:11+09:00,0.2612,0.2141,0.5247,2
